1006-2363A	147 Sandy Beach Road NE		Milledgeville	GA	31061	Baldwin	View This Bid on Auction.com
1148-13018A	1204 Woodburn Court		Columbus	GA	31907	Muscogee	
1162-5451A	413 Mt. Pleasant Drive		Columbus	GA	31907	Muscogee	
1168-5089A	1435 Fox Croft Loop		Columbus	GA	31904	Muscogee	View This Bid on Auction.com
1317-3228A	2 Patch Dr		Columbus	GA	31903	Muscogee	
2191-395A	2550 Bond Ave		Columbus	GA	31903	Muscogee	
1017-737A	1009 Gramercy Dr		Midland	GA	31820	Muscogee	
1016-667501815A	170 North Greenfield Circle		Covington	GA	30016	Newton	View This Bid on Auction.com
1017-521A	140 Lake Lucinda Drive		Covington	GA	30016	Newton	
1017-671A	87 Wilson Drive		Covington	GA	30016	Newton	View This Bid on Auction.com
1168-4247A	120 Willow Tree Terrace		Covington	GA	30016	Newton	View This Bid on Auction.com
1207-940A	1195 Fincher Road		Covington	GA	30016	Newton	
1208-1949A	140 Hazelhurst Dr		Covington	GA	30016	Newton	
1317-2872A	230 Trelawney Dr		Covington	GA	30016	Newton	View This Bid on Auction.com
1317-3220A	4112 Locust Cir SW		Covington	GA	30014	Newton	View This Bid on Auction.com
2191-403A	135 Summerwalk Dr		Covington	GA	30016	Newton	
1317-3206A	112 Hilltop Drive		Newborn	GA	30056	Newton	View This Bid on Auction.com
1017-435A	102 Providence Dr		Dallas	GA	30157	Paulding	
1168-5076A	129 Benell Ct		Dallas	GA	30132	Paulding	View This Bid on Auction.com
1207-962A	140 Rosewood Dr		Dallas	GA	30132	Paulding	
1208-1841A	291 Mill Pointe Trail		Dallas	GA	30157	Paulding	
1317-3225A	104 Russell Lane		Dallas	GA	30132	Paulding	
1012-4909A	398 Bridgestone Lane		Douglasville	GA	30134	Paulding	
1168-4205A	267 Stratford Drive		Douglasville	GA	30134	Paulding	View This Bid on Auction.com
1031-77438A	9 Cliff View Dr		Rockmart	GA	30153	Paulding	View This Bid on Auction.com
1317-3074A	111 Highpoint Drive		Byron	GA	31008	Peach	
1006-667508473A	1292 Outback Rd		Jasper	GA	30143	Pickens	View This Bid on Auction.com
1012-4928A	2648 Yorkville Highway		Rockmart	GA	30153	Polk	
1031-77516A	399 Unadilla Hwy		Hawkinsville	GA	31036	Pulaski	View This Bid on Auction.com
1000-6514A	4409 Hatteras Road		Augusta	GA	30906	Richmond	View This Bid on Auction.com
1000-6633A	3216 Denton Drive		Augusta	GA	30906	Richmond	
1016-3324A	1308 Windsong Way		Augusta	GA	30907	Richmond	View This Bid on Auction.com
1016-3413A	2319 Rutherford Avenue		Augusta	GA	30906	Richmond	View This Bid on Auction.com
1207-953A	1530 Stovall Street		Augusta	GA	30904	Richmond	
2191-417A	204 Dogwood Drive		Augusta	GA	30906	Richmond	
1000-667509943A	3408 Nance Boulevard		Hephzibah	GA	30815	Richmond	
1303-110A	2004 Tracy Drive		Hephzibah	GA	30815	Richmond	View This Bid on Auction.com
1000-6547A	1204 Branlee Drive SE		Conyers	GA	30013	Rockdale	View This Bid on Auction.com
1000-6629A	4301 Troup Smith Road SE		Conyers	GA	30094	Rockdale	View This Bid on Auction.com
1016-667501766A	1955 Kevin Drive		Conyers	GA	30013	Rockdale	View This Bid on Auction.com
1017-635A	1485 Country Lane Dr NE		Conyers	GA	30012	Rockdale	View This Bid on Auction.com
1017-658936A	1661 Brentwood Crossing SE		Conyers	GA	30013	Rockdale	
1168-5104A	1412 Steam Engine Way		Conyers	GA	30013	Rockdale	View This Bid on Auction.com
1228-447A	2826 BayLeaf Drive		Conyers	GA	30094	Rockdale	
1006-667508246A	2132 Indian Shoals Drive		Loganville	GA	30052	Rockdale	View This Bid on Auction.com
1317-3224A	3501 Pebble Brook Lane		Stockbridge	GA	30281	Rockdale	
1012-666920A	2018 S McDonough Road		Griffin	GA	30224	Spalding	
1168-4541A	101 D Country Club Drive		Americus	GA	31709	Sumter	View This Bid on Auction.com
1434-1588A	1356 Box Spring Road		Box Springs	GA	31801	Talbot	
1098-334A	Rt 2 Box 287		Reynolds	GA	31076	Taylor	
1763-006A	112 Cannon Street		Thomasville	GA	31792	Thomas	
1031-269A	1624 Ridge Ave N		Tifton	GA	31794	Tift	
1031-77466A	71 River Bend Lane		Tifton	GA	31793	Tift	View This Bid on Auction.com
1317-2570A	1128 Poplar Ridge Rd		Hiawassee	GA	30546	Towns	
1006-2349A	641 Leonard Rd		Lagrange	GA	30241	Troup	
1317-3202A	1008 Park Avenue		Lagrange	GA	30240	Troup	View This Bid on Auction.com
1317-3189A	2753 Glass Mill Road		Chickamauga	GA	30707	Walker	View This Bid on Auction.com
1017-711A	787 West Armuchee Rd		La Fayette	GA	30728	Walker
-231A	710 E Broomtown Road		Lafayette	GA	30728	Walker	View This Bid on Auction.com
1000-6533A	315 Cooper Rd		Rock Spring	GA	30739	Walker	View This Bid on Auction.com
1031-77519A	2094 Peavine Road		Rock Spring	GA	30739	Walker	View This Bid on Auction.com
1000-667511413A	5072 Cliff Top Drive		Loganville	GA	30052	Walton	View This Bid on Auction.com
1012-4922A	1216 Mystic Dr		Loganville	GA	30052	Walton	
1168-4312A	2011 Stanley Christian Road		Monroe	GA	30655	Walton	View This Bid on Auction.com
1317-3193A	443 Clearwater Way		Monroe	GA	30655	Walton	
1017-662032A	5020 Cate Drive		Waycross	GA	31503	Ware	
1012-4913A	206 Plantation Dr		Sandersville	GA	31082	Washington	
1031-323A	1220 Lanes Bridge Road		Jesup	GA	31545	Wayne	
1031-77591A	765 Lanes Bridge Rd		Jesup	GA	31545	Wayne	
1120-18323A	106 Berkley Drive		Jesup	GA	31546	Wayne	View This Bid on Auction.com
1207-941A	14167 Lanes Bridge Road		Odum	GA	31555	Wayne	
1000-6573A	270 Cemetery Road		Preston	GA	31824	Webster	View This Bid on Auction.com
1031-356A	826 Lee Bryant Road Northeast		Dalton	GA	30721	Whitfield	View This Bid on Auction.com
1006-2396A	4128 Jimmy Drive		Rocky Face	GA	30740	Whitfield	View This Bid on Auction.com
1263-487A	1704 Westside Cir	A	Rocky Face	GA	30740	Whitfield	View This Bid on Auction.com
