1006-667502979A	635 Alpine Dr		Baxley	GA	31513	Appling		3/6/2018
1010-928A	31 Cloud Forest Ct		Stockbridge	GA	30281	Henry	View This Bid on Auction.com	3/6/2018
1016-3570A	304 Village Lane		Stockbridge	GA	30281	Henry		3/6/2018
1031-729A	300 Falling Timber Ct		Stockbridge	GA	30281	Henry	View This Bid on Auction.com	3/6/2018
1168-5370A	101 Thornwood Drive		Bonaire	GA	31005	Houston		3/6/2018
1017-1557A	102 Lake Drive		Kathleen	GA	31047	Houston		3/6/2018
1000-8319A	205 North Star Road		Perry	GA	31069	Houston		3/6/2018
1823-046A	311 Martin Luther King Boulevard		Perry	GA	31069	Houston		3/6/2018
1012-5252A	207 Bernard Drive		Warner Robins	GA	31093	Houston		3/6/2018
1162-5530A	205 Courthouse Ln		Warner Robins	GA	31088	Houston		3/6/2018
1006-2569A	506 E 11th St		Ocilla	GA	31774	Irwin		3/6/2018
1317-3455A	2234 Brockton Loop		Jefferson	GA	30549	Jackson		3/6/2018
1012-5256A	304 Hale Road		Maysville	GA	30558	Jackson		3/6/2018
1031-919A	865 Summer Springs Ct		Pendergrass	GA	30567	Jackson	View This Bid on Auction.com	3/6/2018
1033-2298A	156 Senah Drive		Leesburg	GA	31763	Lee		3/6/2018
1838-005A	82 Laurel View Dr		Midway	GA	31320	Liberty		3/6/2018
1000-8132A	380 Lincoln Way NE		Ludowici	GA	31316	Long		3/6/2018
1000-8246A	516 Burnt Pines Road NE		Ludowici	GA	31316	Long		3/6/2018
1120-21730A	757 Carriage Crossing		Hahira	GA	31632	Lowndes		3/6/2018
1000-8234A	4846 Davidson Rd		Valdosta	GA	31605	Lowndes		3/6/2018
1207-1025A	15 Old School House Road		Culloden	GA	31016	Monroe		3/6/2018
1010-938A	930 Crawford St		Madison	GA	30650	Morgan		3/6/2018
1017-661866A	166 Rolling Hills Road		Chatsworth	GA	30705	Murray	View This Bid on Auction.com	3/6/2018
1000-8035A	5138 Verdun Drive		Columbus	GA	31907	Muscogee		3/6/2018
1000-8265A	1907 35th St		Columbus	GA	31904	Muscogee		3/6/2018
1012-5247A	1442 Fox Croft Loop		Columbus	GA	31904	Muscogee		3/6/2018
1017-1558A	3813 Howard Avenue		Columbus	GA	31904	Muscogee		3/6/2018
1017-1598A	6528 Lemans Lane		Columbus	GA	31909	Muscogee		3/6/2018
1017-1633A	5756 Gleneden Dr		Columbus	GA	31907	Muscogee		3/6/2018
1031-888A	1023 Amber Drive		Columbus	GA	31907	Muscogee		3/6/2018
1087-1711A	5833 Gleneden Drive		Columbus	GA	31907	Muscogee	View This Bid on Auction.com	3/6/2018
1120-21666A	1290 Carmel Dr		Columbus	GA	31907	Muscogee		3/6/2018
1120-21712A	4354 Deanery Court		Columbus	GA	31907	Muscogee		3/6/2018
1208-2220A	6052 Buxton Dr		Columbus	GA	31907	Muscogee		3/6/2018
1017-1651A	1009 Gramercy Drive		Midland	GA	31820	Muscogee		3/6/2018
1000-8248A	765 Freeman Dr		Covington	GA	30016	Newton		3/6/2018
1012-5223A	265 Heaton Place Trail		Covington	GA	30016	Newton		3/6/2018
1012-5224A	200 Skyline Drive		Covington	GA	30014	Newton		3/6/2018
1012-5245A	255 Fieldview Lane		Covington	GA	30016	Newton		3/6/2018
1017-1565A	135 Riverbend Drive		Covington	GA	30014	Newton		3/6/2018
1031-894A	400 Greenway Drive		Covington	GA	30016	Newton	View This Bid on Auction.com	3/6/2018
1031-921A	60 Lakebirch Drive		Covington	GA	30016	Newton	View This Bid on Auction.com	3/6/2018
1031-923A	737 Newton Factory Bridge Rd		Covington	GA	30014	Newton		3/6/2018
1098-426A	75 Princeton Way		Covington	GA	30016	Newton		3/6/2018
1207-1034A	1195 Fincher Road		Covington	GA	30016	Newton		3/6/2018
1208-2148A	455 Barshay Drive		Covington	GA	30016	Newton		3/6/2018
1263-785A	105 Thrasher Way		Covington	GA	30014	Newton	View This Bid on Auction.com	3/6/2018
2191-684A	9436 Tara Drive SW		Covington	GA	30014	Newton		3/6/2018
1017-1646A	95 Brookview Place		Oxford	GA	30054	Newton		3/6/2018
1031-803A	410 Spring View Court		Dallas	GA	30132	Paulding	View This Bid on Auction.com	3/6/2018
1031-982A	557 Woodland Street		Dallas	GA	30157	Paulding		3/6/2018
1120-21733A	240 Sugar Birch Way		Dallas	GA	30132	Paulding		3/6/2018
1290-200A	281 Silver Ridge Dr		Dallas	GA	30157	Paulding	View This Bid on Auction.com	3/6/2018
1120-21768A	105 Clingstone Ct		Byron	GA	31008	Peach		3/6/2018
1000-8219A	48 Pine View Court		Jasper	GA	30143	Pickens		3/6/2018
1031-976A	194 Lukes Path		Jasper	GA	30143	Pickens	View This Bid on Auction.com	3/6/2018
1208-2205A	139 South Basin		Jasper	GA	30143	Pickens		3/6/2018
1017-1643A	54 Trippe Trail		Talking Rock	GA	30175	Pickens		3/6/2018
1000-8193A	5682 Wylly Street		Patterson	GA	31557	Pierce		3/6/2018
1017-1605A	793 Howell Road		Zebulon	GA	30295	Pike		3/6/2018
1120-21691A	201 Walnut St		Cedartown	GA	30125	Polk	View This Bid on Auction.com	3/6/2018
1000-8145A	2719 Tallowtree Street		Augusta	GA	30906	Richmond		3/6/2018
1000-8210A	528 Hillwood Circle		Augusta	GA	30909	Richmond		3/6/2018
1000-8309A	2068 Willhaven Drive		Augusta	GA	30909	Richmond		3/6/2018
1012-5079A	2361 Dublin Drive		Augusta	GA	30906	Richmond		3/6/2018
1012-5236A	2022 Country Place Drive		Augusta	GA	30906	Richmond		3/6/2018
1031-974A	1856 Mcdade Road		Augusta	GA	30906	Richmond	View This Bid on Auction.com	3/6/2018
1168-5371A	3309 Woodhaven Ct		Augusta	GA	30909	Richmond		3/6/2018
1292-485A	4503 Ridge Run Drive		Hephzibah	GA	30815	Richmond	View This Bid on Auction.com	3/6/2018
1006-2585A	2950 Camary Place Drive SE		Conyers	GA	30094	Rockdale	View This Bid on Auction.com	3/6/2018
1012-5262A	2560 Oak Creek Lane		Conyers	GA	30094	Rockdale		3/6/2018
1017-611A	2260 Grassy Springs Court		Conyers	GA	30012	Rockdale		3/6/2018
1031-805A	941 Cochise Trail SE		Conyers	GA	30094	Rockdale		3/6/2018
1087-1671A	3220 Somerset Court		Conyers	GA	30013	Rockdale	View This Bid on Auction.com	3/6/2018
1168-5357A	1317 Breezy Ct		Conyers	GA	30013	Rockdale		3/6/2018
1207-1082A	2550 Plymouth Way		Conyers	GA	30013	Rockdale		3/6/2018
1000-8287A	948 A Cheatham Road		Griffin	GA	30223	Spalding		3/6/2018
1012-5208A	2018 S McDonough Road		Griffin	GA	30224	Spalding		3/6/2018
1017-1352A	106 Halifax Drive		Griffin	GA	30223	Spalding		3/6/2018
1031-845A	182 Johnny Cut Road		Griffin	GA	30223	Spalding	View This Bid on Auction.com	3/6/2018
1017-662734A	4323D Gulley Road		Toccoa	GA	30577	Stephens		3/6/2018
1017-1199A	809 N Oak St		Thomasville	GA	31792	Thomas		3/6/2018
1120-21593A	1293 Taylor Road		Hiawassee	GA	30546	Towns		3/6/2018
1017-1571A	865 Thrash Road		Lagrange	GA	30241	Troup		3/6/2018
1317-3431A	101 West Lake Dr		Lagrange	GA	30240	Troup		3/6/2018
1000-8162A	215 Hidden Valley Dr		Macon	GA	31217	Twiggs		3/6/2018
1317-3464A	603 Cherry Street		Thomaston	GA	30286	Upson		3/6/2018
1031-866A	617 Bradley Ave		La Fayette	GA	30728	Walker	View This Bid on Auction.com	3/6/2018
1031-946A	202 Skyline Heights Drive		LaFayette	GA	30728	Walker		3/6/2018
1168-5293A	408 Jenkins Road		Rossville	GA	30741	Walker		3/6/2018
1010-949A	924 Parkplace		Loganville	GA	30052	Walton		3/6/2018
1031-931A	605 Hunter's Cove Lane		Loganville	GA	30052	Walton		3/6/2018
1162-5620A	3105 Autumn Woods Drive		Loganville	GA	30052	Walton		3/6/2018
1207-1076A	2015 Lake Street		Loganville	GA	30052	Walton		3/6/2018
1031-987A	508 Chestnut Lane		Monroe	GA	30655	Walton		3/6/2018
1168-5366A	468 Bear Cub Path		Social Circle	GA	30025	Walton		3/6/2018
1317-3396A	499 Laxton Rd		Jesup	GA	31545	Wayne		3/6/2018
1168-5255A	96 Pine Valley Rd		Richland	GA	31824	Webster		3/6/2018
1120-21710A	172 Whistle Trail		Dalton	GA	30720	Whitfield		3/6/2018
1263-609A	409 Esther Drive		Dalton	GA	30720	Whitfield		3/6/2018
1031-989A	190 Pine Brook Drive		Rocky Face	GA	30740	Whitfield		3/6/2018
1317-3306A	192 Milledgeville Highway		Gordon	GA	31031	Wilkinson		3/6/2018
