1012-5029A	3027 Heritage Rd		Milledgeville	GA	31061	Baldwin	
1162-5545A	190 Clubhouse Drive		Eatonton	GA	31024	Putnam	
1254-1185A	109 Rock Lake Trl		Eatonton	GA	31024	Putnam	
1017-822A	21 Main Street		Georgetown	GA	39854	Quitman	
1017-662721A	326 Fulton Rd.		Tiger	GA	30576	Rabun	
1162-5533A	Route 3 Box 302 aka 6033 US Highway 82 W		Cuthbert	GA	39840	Randolph	View This Bid on Auction.com
1000-6979A	3620 Goldfinch Drive		Augusta	GA	30906	Richmond	View This Bid on Auction.com
1000-7752A	4409 Hatteras Road		Augusta	GA	30906	Richmond	View This Bid on Auction.com
1000-7803A	2719 Tallowtree Street		Augusta	GA	30906	Richmond	
1017-662593A	902 Twelfth St		Augusta	GA	30901	Richmond	
1031-77703A	3421 Stoney Brook Road		Augusta	GA	30906	Richmond	
1148-13700A	3006 Silverwood Drive		Augusta	GA	30907	Richmond	View This Bid on Auction.com
1317-3149A	1101 Alden Drive		Augusta	GA	30906	Richmond	View This Bid on Auction.com
1012-5047A	1434 Commonwealth Way		Hephzibah	GA	30815	Richmond	
1000-6914A	2939 Running Creek Lane		Martinez	GA	30907	Richmond	View This Bid on Auction.com
1000-6856A	3109 Gladdale Dr		Conyers	GA	30094	Rockdale	View This Bid on Auction.com
1000-6987A	1549 Rena Crt NW		Conyers	GA	30012	Rockdale	View This Bid on Auction.com
1012-5018A	2560 Oak Creek Lane		Conyers	GA	30094	Rockdale	
1016-3450A	1955 Kevin Drive		Conyers	GA	30013	Rockdale	View This Bid on Auction.com
1017-1114A	2314 Rolling Acres Ct SW		Conyers	GA	30094	Rockdale	
1017-662768A	872 Pleasant Hill Road NW		Conyers	GA	30012	Rockdale	$171,500.00
1017-979A	1908 Bridgestone Cir		Conyers	GA	30012	Rockdale	
1148-13563A	2028 Lost Meadow Ln		Conyers	GA	30094	Rockdale	View This Bid on Auction.com
1317-3330A	5184 Parkside Drive SE		Conyers	GA	30094	Rockdale	View This Bid on Auction.com
1317-3326A	40 Kathy Lane		Griffin	GA	30224	Spalding	
1098-365A	173 Mitchell St		Desoto	GA	31743	Sumter	
1000-6972A	104 Dogwood St		Glennville	GA	30427	Tattnall	View This Bid on Auction.com
1168-5234A	36 South Winston Street		Reynolds	GA	31076	Taylor	View This Bid on Auction.com
1120-21523A	4196 Ga Hwy 33		Boston	GA	31626	Thomas	View This Bid on Auction.com
1017-726A	820 Wilson Rd		Thomasville	GA	31757	Thomas	
1006-2449A	611 Golden Rd		Tifton	GA	31794	Tift	
1207-910A	29 Tifton Eldorado Road		Tifton	GA	31794	Tift	
1017-720A	1060 US Hwy 280 E		Lyons	GA	30436	Toombs	
1000-6961A	324 Glass Bridge Road		Lagrange	GA	30240	Troup	View This Bid on Auction.com
1000-6982A	100 Dogwood Court		Lagrange	GA	30240	Troup	View This Bid on Auction.com
1000-7783A	327 Baileys Way		Lagrange	GA	30241	Troup	View This Bid on Auction.com
1017-1116A	125 Brittney Ln		Lagrange	GA	30240	Troup	
1031-651A	302 Lenox Circle		Lagrange	GA	30241	Troup	
1229-074A	302 N Carey St		Lagrange	GA	30241	Troup	View This Bid on Auction.com
1017-1087A	509 Everette St		LaGrange	GA	30240	Troup	
1422-120A	333 Carlos Avenue		Ashburn	GA	31714	Turner	View This Bid on Auction.com
1098-403A	6694 GA 180		Blairsville	GA	30512	Union	
1031-373A	1785 Logtown Road		Yatesville	GA	31097	Upson	
1017-708A	102 Park Street		Chickamauga	GA	30707	Walker	
1763-030A	4302 Happy Valley Road		Flintstone	GA	30725	Walker	
1078-057A	175 Stiles Lane		LaFayette	GA	30728	Walker	
1168-5070A	504 Wellington Drive		Monroe	GA	30655	Walton	View This Bid on Auction.com
1208-1550A	410 Southern Hills Drive		Monroe	GA	30655	Walton	View This Bid on Auction.com
1012-5020A	4026 Tennille Harrison Road		Tennille	GA	31089	Washington	
1317-3117A	499 Laxton Road		Jesup	GA	31545	Wayne
