1031-1029A	178 Colonial Drive		Baxley	GA	31513	Appling	View This Bid on Auction.com	4/3/2018
2191-554A	1936 Saint Gregorys Court		Knoxville	TN	37931	Knox		3/29/2018
1292-563A	523 Creekside Dr		Leesburg	GA	31763	Lee	View This Bid on Auction.com	4/3/2018
1031-1028A	207 West General Stewart Way		Hinesville	GA	31313	Liberty		4/3/2018
1317-3322A	511 Sabreena Circle		Hinesville	GA	31313	Liberty	View This Bid on Auction.com	4/3/2018
1095-571A	163 Lee Way		Lincolnton	GA	30817	Lincoln	View This Bid on Auction.com	4/3/2018
1031-1075A	150 Nettles Branch Drive SE		Allenhurst	GA	31301	Long		4/3/2018
1017-1560A	C-1 Pearl Davis Road		Ludowici	GA	31316	Long		4/3/2018
1120-21754A	420 Pat Priester Dr NE		Ludowici	GA	31316	Long	View This Bid on Auction.com	4/3/2018
1162-5403A	401 Lafayette Street		Hahira	GA	31632	Lowndes	View This Bid on Auction.com	4/3/2018
1000-8352A	805 East Moore Street		Valdosta	GA	31602	Lowndes		4/3/2018
1292-520A	3616 Becky St		Valdosta	GA	31605	Lowndes	View This Bid on Auction.com	4/3/2018
1763-019A	4400 Triple Oak Drive		Valdosta	GA	31602	Lowndes		4/3/2018
1120-21751A	47 Mill Creek Cv		Dawsonville	GA	30534	Lumpkin	View This Bid on Auction.com	4/3/2018
1292-270A	97 Reynolds Drive		Jackson	TN	38305	Madison	View This Bid on Auction.com	3/29/2018
1000-7907A	6271 GA Hwy 41N		Box Springs	GA	31801	Marion	View This Bid on Auction.com	4/3/2018
1292-496A	201 3rd Ave		Mt Pleasant	TN	38474	Maury	View This Bid on Auction.com	3/29/2018
1000-8294A	130 W Harzell Lane		Forsyth	GA	31029	Monroe	View This Bid on Auction.com	4/3/2018
1016-3549A	350 Willis Wilder Drive		Forsyth	GA	31029	Monroe	View This Bid on Auction.com	4/3/2018
1031-1036A	201 Old Oak Drive		Forsyth	GA	31029	Monroe	View This Bid on Auction.com	4/3/2018
1207-1100A	702 Teagle Road		Jackson	GA	30233	Monroe		4/3/2018
1290-209A	228 Moncrest Drive		Clarksville	TN	37042	Montgomery	View This Bid on Auction.com	3/22/2018
1000-8455A	2981 Apalachee Road		Madison	GA	30650	Morgan		4/3/2018
1168-5427A	2040 Athens Highway		Madison	GA	30650	Morgan	View This Bid on Auction.com	4/3/2018
1031-539A	65 Charlotte Drive		Chatsworth	GA	30705	Murray		4/3/2018
1120-21767A	57 Ginger Lane		Chatsworth	GA	30705	Murray	View This Bid on Auction.com	4/3/2018
1000-8272A	2242 Danbury Drive		Columbus	GA	31907	Muscogee	View This Bid on Auction.com	4/3/2018
1000-8293A	4102 15th Ave		Columbus	GA	31904	Muscogee	View This Bid on Auction.com	4/3/2018
1006-2521A	4629 Papaya Court		Columbus	GA	31909	Muscogee	View This Bid on Auction.com	4/3/2018
1012-5173A	2617 Marion Street		Columbus	GA	31906	Muscogee		4/3/2018
1017-1446A	1130 Calvin Avenue		Columbus	GA	31903	Muscogee		4/3/2018
1017-1621A	68 31st Avenue		Columbus	GA	31903	Muscogee		4/3/2018
1017-658215A	1040 Harbison Dr		Columbus	GA	31903	Muscogee		4/3/2018
1031-994A	3601 Irwin Way		Columbus	GA	31906	Muscogee		4/3/2018
1120-21749A	4630 Acorn Street		Columbus	GA	31907	Muscogee		4/3/2018
1120-21752A	5234 Verdun Coyrt		Columbus	GA	31907	Muscogee	View This Bid on Auction.com	4/3/2018
1208-2258A	5901 Buxton Drive		Columbus	GA	31907	Muscogee		4/3/2018
1263-783A	34 Infantry Drive		Columbus	GA	31903	Muscogee		4/3/2018
1263-811A	4838 Champions Way		Columbus	GA	31909	Muscogee		4/3/2018
1263-820A	2511 Reese Rd		Columbus	GA	31907	Muscogee		4/3/2018
1000-8363A	210 Creekside Trail		Covington	GA	30016	Newton	View This Bid on Auction.com	4/3/2018
1010-953A	185 Heaton Dr		Covington	GA	30016	Newton	View This Bid on Auction.com	4/3/2018
1012-5297A	190 Trelawney Lane		Covington	GA	30016	Newton		4/3/2018
1017-1676A	485 Cowan Rd		Covington	GA	30016	Newton		4/3/2018
1017-1686A	235 Riverbend Drive		Covington	GA	30014	Newton		4/3/2018
1017-1709A	175 Mills Creek Lane		Covington	GA	30016	Newton		4/3/2018
1168-5364A	54 Windcrest Drive		Covington	GA	30016	Newton	View This Bid on Auction.com	4/3/2018
1208-2231A	265 Alcovy Reserve Way		Covington	GA	30014	Newton		4/3/2018
1317-3482A	230 Trelawney Dr		Covington	GA	30016	Newton	View This Bid on Auction.com	4/3/2018
2191-714A	470 Wisteria Blvd		Covington	GA	30016	Newton		4/3/2018
1207-1026A	15 Ashley Drive		Oxford	GA	30054	Newton		4/3/2018
1016-3567A	110 Hickory Brook Lane		Acworth	GA	30101	Paulding	View This Bid on Auction.com	4/3/2018
1000-8305A	128 Kessle Lane		Dallas	GA	30132	Paulding	View This Bid on Auction.com	4/3/2018
1000-8335A	49 Dalgety Crossing		Dallas	GA	30132	Paulding	View This Bid on Auction.com	4/3/2018
1017-1705A	101 Christine Court		Dallas	GA	30157	Paulding		4/3/2018
1148-14653A	251 Adair Ct		Dallas	GA	30157	Paulding		4/3/2018
1317-3397A	103 Campbell Drive		Dallas	GA	30132	Paulding		4/3/2018
1031-1071A	254 Merrill Meadows Point		Douglasville	GA	30134	Paulding		4/3/2018
2191-685A	121 Paradise Crossing		Douglasville	GA	30134	Paulding		4/3/2018
1031-1005A	50 Turnrow Court		Hiram	GA	30141	Paulding		4/3/2018
2191-488A	213 Lakeview Lane		Hiram	GA	30141	Paulding		4/3/2018
1031-446A	933 Woodwind Drive		Rockmart	GA	30153	Paulding	View This Bid on Auction.com	4/3/2018
1031-1011A	75 Sudan Road		Byron	GA	31008	Peach		4/3/2018
1000-8285A	189 Arbor Hills Road North		Talking Rock	GA	30175	Pickens	View This Bid on Auction.com	4/3/2018
1823-047A	6449 Radcliffe Cir		Blackshear	GA	31516	Pierce		4/3/2018
1087-1658A	1202 Smyrna Church Road		Molena	GA	30258	Pike	View This Bid on Auction.com	4/3/2018
1317-3481A	618 Martha Ln		Cedartown	GA	30125	Polk	View This Bid on Auction.com	4/3/2018
1000-8465A	251 Spivey Road		Eatonton	GA	31024	Putnam	View This Bid on Auction.com	4/3/2018
1016-3590A	106 Clack Cir		Eatonton	GA	31024	Putnam		4/3/2018
1031-909A	216 Hogan Industrial Blvd		Eatonton	GA	31024	Putnam	View This Bid on Auction.com	4/3/2018
1000-8226A	2406 Pennyhill Drive		Augusta	GA	30906	Richmond	View This Bid on Auction.com	4/3/2018
1000-8256A	2711 Wicklow Drive		Augusta	GA	30909	Richmond	View This Bid on Auction.com	4/3/2018
1000-8342A	2817 Vernon Drive		Augusta	GA	30906	Richmond	View This Bid on Auction.com	4/3/2018
1000-8418A	2724 Edward Dr		Augusta	GA	30904	Richmond		4/3/2018
1000-8452A	424 Shallowford Circle		Augusta	GA	30907	Richmond	View This Bid on Auction.com	4/3/2018
1017-1600A	718 Crawford Avenue		Augusta	GA	30904	Richmond		4/3/2018
1031-1014A	1424 Hickman Rd		Augusta	GA	30904	Richmond	View This Bid on Auction.com	4/3/2018
1162-5469A	3405 Southern Ridge Court		Augusta	GA	30906	Richmond		4/3/2018
1010-936A	4637 Fulcher Road		Hephzibah	GA	30815	Richmond		4/3/2018
1010-956A	2908 Avalon Court		Hephzibah	GA	30815	Richmond	View This Bid on Auction.com	4/3/2018
1031-861A	4609 Dunson Drive		Hephzibah	GA	30815	Richmond		4/3/2018
1290-222A	2158 Louisa Rd		Hephzibah	GA	30815	Richmond	View This Bid on Auction.com	4/3/2018
1303-217A	4931-A Horseshoe Cricle		Hephzibah	GA	30815	Richmond	View This Bid on Auction.com	4/3/2018
1016-3512A	1955 Kevin Drive		Conyers	GA	30013	Rockdale	View This Bid on Auction.com	4/3/2018
1031-511A	2400 Turner Rd		Conyers	GA	30094	Rockdale	View This Bid on Auction.com	4/3/2018
1168-5430A	1412 Steam Engine Way		Conyers	GA	30013	Rockdale	View This Bid on Auction.com	4/3/2018
1207-1102A	2094 Jessica Way		Conyers	GA	30012	Rockdale		4/3/2018
1031-1050A	Route 2 Box 33D		Ellaville	GA	31806	Schley	View This Bid on Auction.com	4/3/2018
1292-341A	2400 Johanna Drive		Memphis	TN	38114	Shelby	View This Bid on Auction.com	3/15/2018
1292-467A	5118 Appleville Street		Memphis	TN	38109	Shelby	View This Bid on Auction.com	3/15/2018
1292-487A	4448 Chuck Avenue		Memphis	TN	38118	Shelby	View This Bid on Auction.com	3/15/2018
1292-492A	960 Blythe Street		Memphis	TN	38104	Shelby	View This Bid on Auction.com	3/15/2018
1012-5185A	125 Bramble Way		Griffin	GA	30224	Spalding		4/3/2018
1016-3483A	110 Rockbridge Loop		Griffin	GA	30224	Spalding	View This Bid on Auction.com	4/3/2018
1031-1103A	148 Pecan Dr		Griffin	GA	30223	Spalding	View This Bid on Auction.com	4/3/2018
1162-5557A	Lot 15 Cecil Jackson Road		Griffin	GA	30224	Spalding	View This Bid on Auction.com	4/3/2018
1228-470A	1756 Pineview Rd		Griffin	GA	30223	Spalding	View This Bid on Auction.com	4/3/2018
1000-8331A	107 Bethany Road		Williamson	GA	30292	Spalding	View This Bid on Auction.com	4/3/2018
1017-1520A	169 Shawnee Trl f/k/a 155 Currahee Trl		Toccoa	GA	30577	Stephens		4/3/2018
1031-993A	294 Fern Valley Drive		Toccoa	GA	30577	Stephens		4/3/2018
1317-3353A	734 Oak Valley Rd		Toccoa	GA	30577	Stephens	View This Bid on Auction.com	4/3/2018
1292-484A	914 Tremont Avenue		Bristol	TN	37620	Sullivan	View This Bid on Auction.com	3/15/2018
1120-21747A	6700 Scenic Heights Road		Manchester	GA	31816	Talbot	View This Bid on Auction.com	4/3/2018
1000-8398A	6448 Woodland Highway		Woodland	GA	31836	Talbot		4/3/2018
1031-985A	706 Rail Road Street		Glennville	GA	30427	Tattnall		4/3/2018
1207-1081A	109 Stewart Street		Thomasville	GA	31792	Thomas		4/3/2018
1434-1718A	315 W 24th St		Tifton	GA	31794	Tift		4/3/2018
1763-039A	4621 Riverbend Lane		Tifton	GA	31793	Tift		4/3/2018
1292-480A	143 Mcgowan Dr		Atoka	TN	38004	Tipton	View This Bid on Auction.com	3/15/2018
1017-1548A	903 East 9th Street		West Point	GA	31833	Troup		4/3/2018
1168-5431A	222 Rachels Road		Ashburn	GA	31714	Turner	View This Bid on Auction.com	4/3/2018
1010-952A	765 Nottely Shores		Blairsville	GA	30512	Union		4/3/2018
1031-903A	47 Country View Drive		Blairsville	GA	30512	Union	View This Bid on Auction.com	4/3/2018
1098-429A	6694 Ga 180		Blairsville	GA	30512	Union	View This Bid on Auction.com	4/3/2018
1162-5628A	112 Robert Street		Thomaston	GA	30286	Upson	View This Bid on Auction.com	4/3/2018
1208-2280A	909 Kensington Road		Chickamauga	GA	30707	Walker		4/3/2018
1017-1726A	1076 Scoggins Ln		Summerville	GA	30747	Walker		4/3/2018
1031-1076A	411 Red Oak Court		Monroe	GA	30655	Walton	View This Bid on Auction.com	4/3/2018
1017-1747A	824 Homer St		Waycross	GA	31501	Ware		4/3/2018
1031-1094A	216 Meadowdale Drive		Dalton	GA	30721	Whitfield	View This Bid on Auction.com	4/3/2018
1031-1081A	190 Pine Brook Drive		Rocky Face	GA	30740	Whitfield		4/3/2018
1290-206A	2010 Lucille St		Lebanon	TN	37087	Wilson	View This Bid on Auction.com	3/22/2018
